"都道府県","lon","lat","age0_4(%)","age5_9(%)","age10_14(%)","age15_19(%)","age20_24(%)","age25_29(%)","age30_34(%)","age35_39(%)","age40_44(%)","age45_49(%)","age50_54(%)","age55_59(%)","age60_64(%)","age65_69(%)","age70_74(%)","age75_79(%)","age80_84(%)","age85_89(%)","age90_94(%)","age95_99(%)","over100(%)","unknown(%)"
"鹿児島県",130.5579779,31.5601464,4.33133166338655,4.51237280526443,4.83424977230662,4.98036034747709,4.27582957165513,5.10537192262293,5.61075158154588,5.89992509854991,5.53573291479169,5.98924419865412,6.88190772469556,7.75499606738083,7.5207385587742,5.78950699842109,5.78686962341801,5.76307464005692,4.64682032208796,2.76180049488877,1.19959536806619,0.350302008742019,0.0577292084006841,0.411489108813404
"秋田県",140.1023643,39.7186135,3.29724667747701,3.75949473156924,4.36695497317212,4.34200094475399,3.50921779710257,4.41621846100864,5.39596334059855,5.87110277468538,5.53058618025648,6.12653626114989,6.9828922179343,8.18786792228708,8.53584310085571,6.58344360067293,6.80812193772174,6.69209951777031,5.20738086753463,2.80755840025341,1.09917430711135,0.272376443028848,0.037292920698676,0.170626622357152
"新潟県",139.0230946,37.9025518,3.83419318157889,4.1835793552191,4.68866474341426,4.72286213649477,4.32327486365264,4.99016614373855,5.94584008928383,6.66280612352334,6.08806249868391,5.98791299037672,6.34833329823749,7.51197119332898,8.1175430099602,6.2294426077618,5.8932384341637,5.49878919328687,4.44368169470825,2.62359704352587,1.10379245720061,0.32222198824991,0.046537092800438,0.433489860809872
"神奈川県",139.6423446,35.4475073,4.27296481527919,4.35954431817315,4.49414372661654,4.65297964895404,5.49552177081055,6.19513145573476,7.17596427451648,8.64207995927647,8.02077200756692,6.80649282171486,5.67348829303437,6.1445364896576,7.38045502535219,6.32227092488106,5.07188563283107,3.92138616502867,2.60030275196608,1.39459973336519,0.600210138201178,0.172982177597172,0.0250764478001523,0.57721142164229
"青森県",140.7399984,40.8243077,3.5286990320671,4.17653616477796,4.80748016331001,4.90104773839525,4.09258020051859,4.78672782175413,5.657670829999,6.41633274814157,6.19650355811639,6.42951230541039,6.84659796306666,7.83579291056323,8.26321833138067,6.43839576390097,6.16701338853699,5.77432083411306,4.05609976852037,2.17113181814541,0.842399436701353,0.210290394432839,0.0272328973399867,0.374415930808053
"静岡県",138.3830845,34.9771201,4.29688444138351,4.53924786859626,4.75149182989567,4.48947372475005,4.35162537546411,5.44522227979921,6.27297638490446,7.47196485956069,6.72235137942639,6.27624331110141,6.14455696895119,6.96444920288329,8.01015775003871,6.6675838849702,5.6138806647637,4.74182385318274,3.55194558735216,1.99346242915352,0.842282630550222,0.243930489372264,0.031819329950781,0.576625753949461
"石川県",136.6255726,36.5946816,4.23581024937852,4.55655212739402,4.82403649208233,4.85173381843548,4.93610808112239,5.18196459529419,6.22352084309294,7.54752143123369,6.37440288325748,5.93825547877051,5.88807544614922,6.64487924307652,8.47187695548253,6.43808963675469,5.12930548099314,4.71230684534292,3.69981569309995,2.21014406029127,1.006250705256,0.298430142897687,0.0429992443075155,0.78792054628702
"千葉県",140.1233063,35.6050574,4.11448052045199,4.30859955191916,4.44063974503116,4.55911879257866,5.08422307907499,5.80743591554382,6.70269673755516,8.16134835429949,7.27437221789399,6.29842016675866,5.76425902978449,6.71201097632366,8.12893351644365,6.90699869327182,5.41321357485149,4.04476046721766,2.6640170687045,1.41878860522733,0.594888686803332,0.170777130857333,0.0230201652465,1.40699700416116
"大阪府",135.5196609,34.6862971,4.11610733826307,4.35817622637615,4.66917721958051,4.70297211188185,5.30054160939715,5.83601468430934,6.58597703729564,8.15754104934494,7.31722586347021,6.27240420315513,5.36804115396698,6.19515873503778,7.97437634267299,7.01771919444979,5.72463592376748,4.33793989901012,2.77555781030304,1.45648541016069,0.619057905337078,0.181732146150501,0.0266772097105043,1.00648092635906
"大分県",131.6126189,33.2381718,4.12526566426723,4.28347327979514,4.59838415951473,4.68663943790748,4.45221135467674,5.09615730166172,5.92463701255883,6.50506590312479,5.66923158569496,5.67107023732814,6.29788329409484,7.36864714520083,8.27844540332913,6.4942847185484,5.85643975198261,5.63730590733697,4.46065243717453,2.58572922177398,1.08547306417145,0.307723423335331,0.04479623979026,0.57048345673193
